brand,category-1,category-2,category-3,co2_total,colour,fabric_type,ftp_acrylic,ftp_cotton,ftp_elastane,ftp_linen,ftp_other,ftp_polyamide,ftp_polyester,ftp_polypropylene,ftp_silk,ftp_viscose,ftp_wool,gender,label,made_in,season,size,unspsc_code,weight
b66,womenswear,accessory,backpack,31.11,neon,W,,55.0,,,,,45.0,,,,,W,,CN,,XS,,1.156
b124,menswear,suit,jacket,47.93,natural,K,3.0,,16.0,17.0,,50.0,,,,2.0,10.0,M,,CN,,XL,,1.761
b17,home,home,curtain,31.85,Ivory,W,,3.0,2.0,,,6.0,5.0,,8.0,,73.0,,,US,,XL,,
b17,kidswear,swimwear,swimsuit,1.55,mustard,K,11.0,,,,17.0,1.0,42.0,10.0,,16.0,,Y,,CN,,L,,0.069
b86,menswear,footwear,socks,1.17,navy,K,30.0,,4.0,,,21.0,43.0,,,,,M,,US,,XS,,0.025
b101,baby,thermals,long-sleeved-top,2.32,light brown,K,18.0,,20.0,,,,,,50.0,7.0,3.0,,,CN,,S,,0.075
b103,womenswear,undergarments,briefs,6.27,natural,K,,,3.0,,,,,1.0,2.0,,93.0,W,,PK,,XS,,
b67,home,home,towel,5.49,natural,K,3.0,3.0,,91.0,,2.0,,,,,,,,CN,,XXL,,
b23,menswear,men-undergarments,boxer-brief,5.97,Ivory,K,1.0,,,2.0,,89.0,,1.0,,2.0,2.0,M,,VN,,XXL,,
b89,home,home,curtain,8.74,neon,W,7.0,,,35.0,,23.0,,11.0,,22.0,,,,CN,,S,,0.36700000000000005
b112,clothing,uniform,jacket,17.85,yellow,K,,11.0,10.0,,,5.0,60.0,,5.0,,7.0,M,,US,,S,,0.42700000000000005
b124,baby,baby,body,0.64,black,K,,4.0,5.0,5.0,6.0,2.0,66.0,4.0,4.0,,,,,CN,,L,,
b95,baby,outerwear,pants,0.61,golden,K,,1.0,2.0,1.0,,1.0,90.0,2.0,,,,,,US,,M,,0.017
b142,clothing,undergarments,brief,5.04,amber,K,5.0,3.0,,3.0,,5.0,1.0,3.0,4.0,,71.0,K,,CN,,XXL,,
b131,menswear,thermals,trousers,35.07,purple,W,4.0,8.0,,,7.0,,2.0,5.0,64.0,,7.0,M,,HK,AYR,XS,,
b17,clothing,uniform,trousers,34.17,orange,W,11.0,67.0,1.0,,4.0,,,8.0,,6.0,,W,,US,WIN,L,,0.72
b66,baby,outerwear,trousers,40.18,lime,K,31.0,,,10.0,,,3.0,,54.0,,,,,IT,MID,XS,,
b17,kidswear,beachwear,jean-shorts,8.24,grey,K,4.0,,,3.0,7.0,9.0,67.0,,,8.0,,B,,CN,SUM,XXL,,
b95,womenswear,women-beachwear,bikin,5.55,natural,K,19.0,,,42.0,,12.0,2.0,4.0,,19.0,,W,,KR,SUM,XL,,
b89,womenswear,outerwear,coats,70.65,Ivory,W,,,,5.0,13.0,,12.0,11.0,48.0,7.0,,W,,CN,WIN,XS,,
b16,clothing,home,towel,16.96,dark green,W,,,5.0,12.0,14.0,,68.0,,,,,U,,CN,,L,,
b89,menswear,home,curtain,12.17,orange,W,5.0,,,7.0,,,1.0,,84.0,,,M,,CN,,L,,0.455
b17,clothing,nightwear,pyjama,25.65,neon,K,9.0,52.0,10.0,6.0,2.0,,7.0,1.0,,9.0,,K,,TR,,L,,
b131,baby,outerwear,jacket,43.32,amber,W,9.0,2.0,,8.0,13.0,,,,58.0,7.0,,,,HK,,XL,,
b86,baby,baby,body,1.42,maroon,K,17.0,,4.0,,3.0,35.0,3.0,1.0,10.0,14.0,8.0,,,TR,,M,,
b112,home,home,curtain,16.64,lime,K,1.0,,3.0,1.0,8.0,9.0,72.0,,,,3.0,,,TR,,XS,,0.47600000000000003
b95,womenswear,thermals,skirts,12.83,unknown,K,1.0,81.0,3.0,1.0,2.0,,3.0,3.0,,,2.0,W,,KR,,XS,,
b95,kidswear,accessory,backpack,24.67,metal,K,6.0,,,55.0,10.0,,,,9.0,7.0,9.0,B,,CN,,XL,,
b89,kidswear,headgear,scarf,10.26,pink,K,7.0,,3.0,,3.0,10.0,6.0,,,8.0,60.0,G,,CN,WIN,L,,0.237
b16,womenswear,hosiery,tights,6.97,dark green,K,,,,98.0,,,,,,,,W,,TW,,M,,
b86,kidswear,dress,evening-dress,12.78,green,K,,62.0,,16.0,16.0,,3.0,,,,2.0,K,,TW,,XS,,0.33799999999999997
b142,baby,outerwear,gloves,15.55,green,K,2.0,2.0,1.0,2.0,,1.0,1.0,1.0,2.0,1.0,83.0,,,CN,WIN,XL,,
b16,kidswear,sportswear,coats,65.01,neon,K,,,4.0,2.0,1.0,90.0,1.0,,,,,B,,HK,MID,XL,,1.599
b103,home,home,towel,9.33,purple,K,,,,100.0,,,,,,,,,,TR,,S,,0.402
b89,home,home,mat,131.22,wheat,K,,12.0,6.0,9.0,,1.0,54.0,,17.0,,,,,KR,,XL,,
b125,kidswear,thermals,skirts,3.28,unbleached,K,,8.0,,,4.0,,64.0,9.0,,3.0,9.0,Y,,CN,,XS,,
b23,kidswear,accessory,backpack,25.71,dark green,W,1.0,1.0,,93.0,,,,1.0,,1.0,,G,,US,,L,,
b95,menswear,men-undergarments,boxer-brief,4.54,wheat,K,4.0,8.0,6.0,2.0,7.0,5.0,,5.0,3.0,,56.0,M,,CN,,S,,0.114
b142,clothing,outerwear,jacket,20.04,black,W,,,,,,100.0,,,,,,G,,CN,,S,,
b76,baby,outerwear,trousers,38.37,dark green,W,2.0,4.0,3.0,,,5.0,,,84.0,,,,,HK,WIN,L,,
b124,kidswear,uniform,costume,13.52,indigo,K,11.0,14.0,4.0,41.0,11.0,,8.0,,,7.0,,Y,,CN,,XL,,
b112,menswear,sportswear,hoodie,11.25,pink,K,,,,,,,91.0,4.0,,4.0,,M,,DE,,XXL,,0.31
b89,baby,footwear,socks,0.48,orange,K,1.0,1.0,13.0,43.0,,1.0,9.0,7.0,11.0,10.0,,,,CN,,XXL,,0.023
b64,home,home,sheets,50.15,unbleached,K,,4.0,,1.0,3.0,91.0,,,,,,,,DE,,XXL,,
b67,clothing,dress,wedding-dress,46.86,blue,K,2.0,93.0,,,,,,,,2.0,,U,,DE,,XS,,
b95,kidswear,suit,trousers,7.88,dark green,W,,4.0,18.0,35.0,6.0,8.0,15.0,,4.0,,7.0,G,,CN,MID,L,,
b86,home,home,towel,6.54,teal,W,,,,94.0,,,2.0,,1.0,,1.0,,,CN,,XL,,
b95,clothing,undergarments,brief,2.58,white,K,,52.0,,1.0,13.0,20.0,,,,10.0,,K,,CN,,M,,
b17,clothing,footwear,socks,1.64,teal,K,13.0,8.0,5.0,,10.0,13.0,32.0,3.0,,,12.0,M,,DE,,L,,0.037000000000000005
b17,clothing,uniform,costume,12.62,unbleached,K,12.0,,7.0,65.0,7.0,,7.0,,,,,G,,CN,,S,,0.691
b112,home,home,sheets,44.25,mosaic,W,9.0,56.0,,,,9.0,17.0,1.0,,,6.0,,,CN,,XXL,,
b23,baby,thermals,pants,0.52,wheat,K,2.0,,3.0,82.0,2.0,,,2.0,1.0,,5.0,,,DE,,XXL,,
b23,womenswear,clothing,jacket,21.43,light brown,W,11.0,2.0,,66.0,,,,,11.0,4.0,3.0,W,,CN,,XS,,
b112,baby,footwear,socks,1.11,teal,K,,,11.0,6.0,14.0,15.0,35.0,10.0,,5.0,1.0,,,IN,,XL,,
b125,baby,outerwear,gloves,9.05,violet,W,,14.0,14.0,3.0,,10.0,32.0,2.0,,10.0,12.0,,,CN,WIN,M,,
b124,womenswear,costume,jacket,85.19,yellow,K,,10.0,,8.0,2.0,4.0,,,,4.0,69.0,W,,CN,,XXL,,1.925
b95,womenswear,women-sportswear,sport-bra,0.65,gray,K,8.0,,,89.0,2.0,,,,,,,W,,CN,,M,,
b64,clothing,footwear,socks,1.39,pink,K,1.0,83.0,,1.0,,,5.0,2.0,,5.0,,M,,TR,,M,,0.028999999999999998
b142,baby,thermals,skirts,7.32,indigo,K,5.0,16.0,,,8.0,,10.0,8.0,42.0,8.0,,,,CN,,S,,0.287
b131,home,home,mat,30.79,purple,K,,2.0,1.0,90.0,,1.0,,1.0,1.0,,,,,CN,,S,,2.112
b125,menswear,sportswear,hoodie,10.52,indigo,K,,,,,,,98.0,,,,,M,,KR,,L,,
b86,menswear,uniform,trousers,23.01,wheat,K,,34.0,16.0,,,,18.0,8.0,,21.0,,M,,CN,SUM,L,,0.841
b124,menswear,outerwear,pants,1.42,unknown,W,,96.0,1.0,,,,,,,,,M,,PK,,L,,
b16,home,home,pillow,6.61,indigo,K,27.0,,,44.0,6.0,,,,,,20.0,,,CN,,XXL,,
b131,kidswear,clothing,long-sleeved-top,3.14,amber,K,4.0,14.0,11.0,32.0,2.0,,,12.0,7.0,14.0,,G,,PK,,XL,,
b112,home,home,towel,64.04,unbleached,W,2.0,,,1.0,1.0,,1.0,,6.0,12.0,75.0,,,DE,,XXL,,
b89,womenswear,outerwear,pants,0.48,grey,K,,,,,,,,,98.0,,,W,,CN,,S,,
b131,kidswear,nightwear,pyjama,8.51,brown,K,,,6.0,,,10.0,11.0,16.0,10.0,9.0,34.0,Y,,CN,,XS,,
b76,clothing,costume,jacket,36.16,metal,K,5.0,10.0,12.0,5.0,2.0,,,2.0,61.0,1.0,,Y,,US,,XXL,,
b23,home,home,curtain,11.87,peach,W,,,3.0,13.0,1.0,41.0,,,,15.0,25.0,,,CN,,M,,
b76,menswear,suit,trousers,16.98,silver,W,,,,2.0,,,63.0,22.0,,12.0,,M,,HK,SUM,XS,,
b103,home,home,sheets,21.1,mustard,W,,12.0,3.0,,11.0,52.0,1.0,15.0,2.0,,,,,IT,,L,,
b142,baby,footwear,socks,1.28,turquoise,K,,37.0,,,,,,,32.0,,30.0,,,KR,,XXL,,
b67,menswear,headgear,hat,2.24,white,K,,6.0,1.0,4.0,5.0,,5.0,,73.0,,3.0,M,,CN,,XS,,
b103,womenswear,nightwear,pyjama,12.07,natural,K,12.0,22.0,6.0,3.0,,,10.0,,7.0,,37.0,W,,CN,,M,,
b101,clothing,sportswear,pants,1.06,black,K,6.0,,6.0,4.0,,2.0,76.0,3.0,,,,B,,DE,,XXL,,
b23,clothing,footwear,socks,1.51,wheat,K,13.0,8.0,3.0,11.0,5.0,,1.0,18.0,,4.0,33.0,K,,VN,,S,,0.027999999999999997
b103,baby,outerwear,trousers,50.21,blue gray,W,3.0,,14.0,9.0,,12.0,2.0,,12.0,4.0,40.0,,,US,SUM,M,,
b124,womenswear,home,pillow,5.27,teal,K,,91.0,,2.0,,,,,,2.0,3.0,W,,US,,XXL,,
b23,womenswear,beachwear,swimsuit,4.03,golden,K,,,,,,,99.0,,,,,W,,TR,,M,,0.113
b66,menswear,uniform,trousers,14.19,unknown,K,3.0,,5.0,41.0,,14.0,1.0,,,16.0,17.0,M,,CN,AYR,L,,
b103,menswear,nightwear,pyjama,9.44,dark green,K,6.0,18.0,18.0,,,,19.0,,,,37.0,M,,CN,,XS,,0.253
b86,womenswear,dress,fancy-dress,32.38,teal,K,20.0,,,,,,,,56.0,23.0,,W,,PK,,M,,
b64,menswear,accessory,backpack,43.0,neon,W,,12.0,20.0,7.0,,,,,34.0,1.0,23.0,M,,CN,,S,,
b101,clothing,costume,trousers,23.67,mosaic,K,,24.0,18.0,2.0,,,46.0,,9.0,,,M,,CN,WIN,L,,
b76,kidswear,sportswear,hoodie,9.51,turquoise,K,15.0,,,,,,80.0,,,4.0,,B,,TW,,S,,0.228
b89,home,home,towel,16.91,teal,W,3.0,39.0,1.0,12.0,9.0,11.0,,5.0,13.0,,4.0,,,CN,,S,,
b142,womenswear,clothing,skirts,6.83,gray,K,,37.0,,,13.0,5.0,15.0,17.0,,,11.0,W,,CN,,XL,,0.265
b17,kidswear,swimwear,swimsuit,2.79,white,K,23.0,,3.0,38.0,9.0,4.0,20.0,,,,,G,,CN,,XL,,0.126
b67,kidswear,clothing,top,2.91,yellow,K,5.0,2.0,2.0,,6.0,,71.0,,4.0,4.0,3.0,G,,KR,,M,,
b16,womenswear,outerwear,trousers,5.89,bondi blue,K,8.0,7.0,9.0,59.0,,,,2.0,7.0,6.0,,W,,CN,MID,M,,0.282
b89,clothing,costume,dress,23.22,gold,K,,11.0,,5.0,,5.0,,,4.0,7.0,65.0,B,,KR,,S,,
b76,kidswear,headgear,cap,1.8,mosaic,K,,,1.0,,,88.0,1.0,2.0,2.0,2.0,,K,,CN,,M,,
b125,home,home,pillow,4.18,pink,K,,,,,,97.0,,,,,,,,CN,,XL,,
b103,clothing,undergarments,underpants,0.94,blue gray,K,5.0,7.0,6.0,,,70.0,3.0,2.0,,,4.0,Y,,US,,M,,
b86,kidswear,swimwear,swimsuit,3.45,pink,K,,,21.0,36.0,8.0,,,15.0,,18.0,,G,,DE,,M,,0.107
b131,menswear,undergarments,underpants,0.65,silver,K,,,8.0,4.0,,,4.0,4.0,79.0,,,M,,CN,,XL,,
b103,home,home,sheets,12.62,purple,K,1.0,10.0,,62.0,2.0,,7.0,8.0,8.0,,,,,CN,,XXL,,
b112,kidswear,undergarments,underpants,0.63,red,K,,4.0,14.0,15.0,,,32.0,,2.0,14.0,18.0,G,,CN,,L,,
b112,womenswear,outerwear,gloves,6.32,pink,K,,,,,5.0,8.0,9.0,10.0,49.0,6.0,10.0,W,,DE,MID,M,,0.14300000000000002
b67,home,home,curtain,14.59,navy,K,1.0,,,2.0,,2.0,,,,2.0,89.0,,,CN,,S,,
b86,clothing,costume,trousers,6.87,aquamarine,W,,,5.0,35.0,17.0,19.0,,,22.0,,,Y,,CN,SUM,XXL,,
b124,clothing,thermals,knitwear,22.88,peach,K,,3.0,,4.0,,2.0,83.0,1.0,2.0,3.0,,G,,CN,AYR,M,,
b86,baby,thermals,trousers,22.55,light grey,W,21.0,9.0,,4.0,6.0,,,11.0,40.0,7.0,,,,CN,AYR,XXL,,0.792
b95,home,home,pillow,9.23,turquoise,K,,,,,,65.0,10.0,1.0,1.0,20.0,,,,DE,,XXL,,0.21600000000000003
b125,baby,baby,body,0.41,purple,K,,7.0,,75.0,7.0,5.0,,,,,4.0,,,TW,,XS,,0.015
b131,home,home,sheets,57.31,natural,W,17.0,13.0,,,,,,13.0,15.0,1.0,38.0,,,TR,,XXL,,
b86,womenswear,undergarments,brief,3.38,neon,K,3.0,,,,7.0,3.0,2.0,6.0,6.0,7.0,63.0,W,,CN,,S,,
b67,clothing,costume,costume,8.75,amber,W,,86.0,5.0,,4.0,,,4.0,,,,M,,CN,,L,,
b131,womenswear,home,curtain,15.85,black,W,,3.0,,1.0,,90.0,2.0,,,,1.0,W,,CN,,XS,,0.617
b112,womenswear,accessory,backpack,26.18,light grey,K,2.0,2.0,,,2.0,1.0,2.0,3.0,85.0,,,W,,CN,,M,,
b131,womenswear,suit,gloves,5.35,mosaic,W,6.0,,2.0,5.0,,9.0,59.0,7.0,1.0,,8.0,W,,TR,AYR,XS,,
b64,womenswear,beachwear,shorts,3.57,turquoise,K,,,,71.0,6.0,4.0,,7.0,,10.0,,W,,CN,SUM,XXL,,0.22
b131,home,home,towel,17.26,Ivory,W,18.0,32.0,15.0,,10.0,9.0,,,7.0,,6.0,,,DE,,L,,0.36200000000000004
b23,womenswear,hosiery,socks,0.58,neon,K,5.0,,,83.0,,4.0,2.0,4.0,,,,W,,CN,,XL,,0.035
b112,clothing,home,towel,11.44,mustard,K,3.0,2.0,,87.0,2.0,,,,,4.0,,B,,IN,,XL,,
b17,menswear,men-undergarments,boxer-brief,3.6,black,K,2.0,89.0,3.0,,,,,4.0,,,,M,,CN,,S,,0.121
b23,baby,outerwear,coats,16.82,orange,K,1.0,8.0,,23.0,9.0,3.0,,,54.0,,,,,CN,AYR,S,,
b86,clothing,suit,pants,0.37,natural,K,,,,10.0,15.0,,,21.0,32.0,20.0,,W,,CN,,XS,,
b76,kidswear,headgear,knit-cap,2.07,unknown,K,,,11.0,61.0,20.0,,,2.0,,1.0,3.0,K,,CN,,XXL,,
b67,menswear,home,mat,79.95,neon,K,,9.0,,,17.0,15.0,5.0,,39.0,,12.0,M,,DE,,M,,
b67,womenswear,women-beachwear,bikin,4.71,light brown,K,,,57.0,,,43.0,,,,,,W,,DE,SUM,M,,
b17,menswear,home,mat,16.6,teal,K,2.0,,,80.0,5.0,,7.0,,4.0,,,M,,CN,,XS,,
b131,menswear,clothing,jacket,69.42,bondi blue,K,3.0,55.0,10.0,4.0,,4.0,6.0,8.0,,2.0,4.0,M,,HK,,XS,,1.5230000000000001
b66,kidswear,undergarments,brief,2.9,wheat,K,,7.0,5.0,,4.0,60.0,8.0,,,3.0,8.0,K,,CN,,XL,,
b89,clothing,footwear,socks,0.35,golden,K,1.0,,,78.0,,,,,1.0,18.0,,W,,CN,,XL,,0.019
b103,home,home,sheets,8.79,golden,W,,,14.0,54.0,8.0,12.0,3.0,,7.0,,,,,CN,,XS,,
b101,home,home,mat,62.68,blue gray,W,,11.0,17.0,,5.0,43.0,,22.0,,,,,,IN,,XS,,
b131,womenswear,swimwear,swimsuit,2.13,maroon,K,9.0,,,53.0,37.0,,,,,,,W,,DE,,S,,0.105
b124,kidswear,undergarments,briefs,1.24,amber,K,15.0,2.0,,4.0,14.0,15.0,,,33.0,14.0,,Y,,CN,,XS,,
b76,womenswear,home,pillow,2.3,purple,K,,6.0,15.0,19.0,,34.0,24.0,,,,,W,,TW,,L,,
b66,kidswear,swimwear,swimsuit,2.23,colourful,K,10.0,,,4.0,,67.0,8.0,5.0,,4.0,,Y,,CN,,XL,,0.083
b142,kidswear,sportswear,coats,26.93,Ivory,K,3.0,,1.0,3.0,2.0,1.0,82.0,3.0,,2.0,,Y,,CN,SUM,XXL,,
b112,menswear,suit,jacket,60.81,bondi blue,K,,96.0,,,,1.0,,,,,,M,,US,,XS,,
b16,home,home,mat,60.47,mustard,W,,,30.0,31.0,,,,18.0,,20.0,,,,CN,,M,,
b86,kidswear,thermals,long-sleeved-top,1.5,mosaic,K,,22.0,,40.0,25.0,,8.0,,,4.0,,G,,CN,,M,,
b23,kidswear,clothing,trousers,13.1,bondi blue,K,7.0,1.0,,20.0,,9.0,11.0,,,,51.0,B,,CN,SUM,XL,,
b16,womenswear,sportswear,coats,26.99,peach,K,9.0,,10.0,39.0,9.0,31.0,,,,,,W,,CN,MID,S,,1.311
b124,clothing,uniform,gloves,3.58,bondi blue,W,7.0,56.0,8.0,4.0,,7.0,3.0,1.0,3.0,7.0,,M,,CN,SUM,L,,0.124
b131,womenswear,suit,trousers,26.04,grey,W,,,,,3.0,,84.0,3.0,2.0,2.0,3.0,W,,US,SUM,XXL,,
b103,clothing,clothing,trousers,57.42,indigo,W,13.0,7.0,,14.0,,,,,,1.0,63.0,W,,VN,SUM,XS,,0.799
b101,kidswear,costume,costume,8.16,orange,K,,,,99.0,,,,,,,,B,,CN,,L,,
b17,womenswear,nightwear,pyjama,6.55,wheat,K,,,,51.0,,13.0,9.0,7.0,,6.0,11.0,W,,BD,,M,,
b101,kidswear,sportswear,hoodie,14.6,dark grey,K,,,,2.0,1.0,1.0,93.0,,,1.0,,B,,US,,M,,0.41700000000000004
b112,clothing,costume,dress,5.62,light grey,K,,7.0,,10.0,,62.0,,,11.0,5.0,2.0,M,,CN,,XL,,0.21899999999999997
b131,womenswear,uniform,costume,18.53,light brown,W,8.0,75.0,6.0,2.0,2.0,,,,,,4.0,W,,CN,,S,,0.605
b64,womenswear,women-sportswear,sport-bra,1.58,grey,K,10.0,,3.0,7.0,,,65.0,,,12.0,,W,,CN,,XXL,,0.064
b95,baby,nightwear,pyjama,10.61,turquoise,K,19.0,31.0,21.0,,6.0,,,,,,21.0,,,CN,,XXL,,
b131,menswear,uniform,trousers,27.77,neon,W,,,3.0,,,,82.0,1.0,8.0,3.0,,M,,CN,MID,XXL,,1.23
b95,menswear,footwear,socks,1.35,natural,K,2.0,1.0,2.0,1.0,,,,2.0,89.0,,,M,,DE,,XL,,
b95,clothing,uniform,costume,6.22,dark grey,W,3.0,,5.0,66.0,,5.0,,4.0,4.0,4.0,4.0,U,,CN,,S,,
b112,womenswear,accessory,backpack,43.24,mustard,K,,84.0,3.0,3.0,3.0,2.0,,,,2.0,,W,,US,,L,,0.95
b103,kidswear,sportswear,trousers,26.95,colourful,W,15.0,,,,,,48.0,21.0,,14.0,,K,,CN,WIN,XL,,1.022
b66,baby,footwear,socks,0.96,grey,K,4.0,4.0,4.0,4.0,,,,,,3.0,78.0,,,CN,,XL,,0.02
b89,baby,outerwear,coats,58.89,mosaic,W,,4.0,2.0,79.0,4.0,1.0,,,,5.0,2.0,,,IT,WIN,XL,,
b101,clothing,home,mat,29.72,yellow,W,3.0,,3.0,,1.0,82.0,,4.0,,,4.0,U,,CN,,XS,,
b124,womenswear,accessory,backpack,42.45,pink,W,,88.0,2.0,,1.0,3.0,1.0,3.0,,,,W,,TR,,S,,
b131,clothing,home,sheets,25.96,mustard,K,,,3.0,85.0,2.0,3.0,1.0,,1.0,,,K,,ES,,L,,
b64,home,home,mat,59.2,black,W,4.0,32.0,,36.0,11.0,,,16.0,,,,,,CN,,S,,
b17,menswear,costume,costume,50.73,mustard,W,3.0,,4.0,,6.0,75.0,5.0,,3.0,1.0,,M,,TR,,M,,
b67,clothing,nightwear,pyjama,10.58,green,K,,92.0,,,,1.0,1.0,,2.0,2.0,,U,,KR,,XXL,,0.21899999999999997
b23,clothing,home,mat,53.68,violet,W,2.0,,3.0,,,,2.0,,89.0,,2.0,U,,CN,,S,,1.923
b131,baby,outerwear,pants,0.88,purple,W,,1.0,,,1.0,,,,96.0,,,,,CN,,XL,,
b17,baby,baby,body,1.06,lime,K,5.0,,10.0,54.0,4.0,4.0,2.0,,,10.0,8.0,,,TW,,M,,0.03
b103,kidswear,nightwear,pyjama,25.02,unknown,K,2.0,1.0,,,,3.0,83.0,3.0,2.0,,2.0,G,,US,,XL,,0.68
b64,home,home,towel,20.49,golden,K,8.0,6.0,10.0,6.0,1.0,38.0,,9.0,8.0,10.0,,,,CN,,S,,
b76,menswear,suit,tie,0.29,red,K,,16.0,1.0,70.0,11.0,,,,,,,M,,CN,,M,,0.019
b64,womenswear,beachwear,shorts,9.3,maroon,K,,,11.0,19.0,27.0,,42.0,,,,,W,,BD,SUM,XL,,
b76,clothing,undergarments,briefs,2.45,brown,K,8.0,,27.0,,11.0,,41.0,,,11.0,,B,,CN,,XL,,
b66,menswear,footwear,socks,1.31,light grey,K,,87.0,,2.0,1.0,2.0,2.0,1.0,,,2.0,M,,DE,,XL,,0.027999999999999997
b131,baby,thermals,skirts,6.42,grey,K,,3.0,,89.0,,,1.0,,2.0,,3.0,,,VN,,L,,
b131,baby,baby,body,0.7,navy,K,2.0,1.0,,,1.0,88.0,,1.0,2.0,1.0,2.0,,,US,,XS,,
b17,menswear,costume,dress,15.63,unbleached,K,21.0,,,,7.0,46.0,,20.0,,1.0,2.0,M,,TW,,XS,,
b103,home,home,towel,7.77,amber,K,,6.0,4.0,66.0,,,8.0,1.0,7.0,4.0,,,,CN,,L,,
b142,clothing,suit,tie,0.62,blue gray,K,4.0,,,,1.0,4.0,3.0,,4.0,,81.0,U,,CN,,M,,0.013000000000000001
b101,clothing,sportswear,T-shirt,5.1,black,K,,,,100.0,,,,,,,,K,,CN,,XXL,,
b17,womenswear,thermals,knitwear,8.64,red,K,,,,97.0,,,,,,,,W,,ES,MID,L,,
b67,womenswear,accessory,backpack,24.02,mustard,W,,73.0,,3.0,,,,,,11.0,11.0,W,,CN,,M,,
b89,kidswear,thermals,knitwear,39.83,maroon,K,3.0,11.0,,,,2.0,,,,8.0,73.0,G,,TR,MID,S,,
b23,kidswear,thermals,trousers,11.22,wheat,K,8.0,6.0,10.0,4.0,,,,14.0,,14.0,42.0,Y,,US,MID,XS,,0.17800000000000002
b86,kidswear,beachwear,swimsuit,3.18,neon,K,,,,,,96.0,1.0,,,1.0,,Y,,TW,,XL,,
b17,baby,nightwear,pyjama,34.93,brown,K,1.0,69.0,1.0,6.0,1.0,,4.0,5.0,6.0,,4.0,,,US,,L,,
b103,baby,thermals,trousers,65.33,dark grey,W,22.0,,,,16.0,13.0,34.0,13.0,,,,,,DE,WIN,XS,,
b95,baby,nightwear,pyjama,10.37,neon,K,,9.0,,11.0,,,,9.0,61.0,3.0,3.0,,,CN,,L,,0.40299999999999997
b103,menswear,footwear,socks,0.45,unbleached,K,,9.0,,,,10.0,14.0,4.0,56.0,4.0,,M,,CN,,XS,,0.017
b89,menswear,men-undergarments,boxer-brief,3.85,amber,K,3.0,,11.0,,10.0,4.0,3.0,7.0,,,58.0,M,,CN,,XS,,0.098
b124,home,home,sheets,10.59,white,W,4.0,3.0,4.0,,1.0,,2.0,1.0,72.0,7.0,3.0,,,CN,,XS,,
b66,kidswear,thermals,knitwear,15.56,gray,K,9.0,58.0,,3.0,11.0,,,,,7.0,9.0,G,,CN,MID,S,,0.524
b131,kidswear,dress,dress,10.33,Ivory,K,9.0,55.0,,,,4.0,,11.0,,8.0,10.0,Y,,TW,,XS,,
b131,clothing,swimwear,swimsuit,3.87,teal,K,,,,,,24.0,76.0,,,,,U,,IN,,L,,
b95,womenswear,home,towel,35.08,green,K,6.0,,9.0,,8.0,2.0,3.0,,,,70.0,W,,CN,,XS,,
b131,clothing,accessory,backpack,15.67,amber,K,,,,87.0,2.0,2.0,2.0,,1.0,1.0,2.0,K,,CN,,M,,1.0270000000000001
b124,clothing,thermals,pants,0.36,red,W,,42.0,5.0,17.0,,,16.0,,5.0,12.0,,Y,,CN,,L,,
b131,home,home,towel,11.19,unknown,W,,3.0,4.0,5.0,1.0,,73.0,7.0,,,3.0,,,DE,,S,,
b112,kidswear,beachwear,swimsuit,4.1,violet,K,,,4.0,1.0,,2.0,88.0,2.0,,1.0,,G,,DE,,S,,0.115
b101,clothing,thermals,long-sleeved-top,3.23,pink,K,,,19.0,,,,66.0,14.0,,,,W,,VN,,S,,0.08900000000000001
b95,womenswear,home,towel,17.3,blue gray,W,,34.0,,66.0,,,,,,,,W,,ES,,XXL,,0.5379999999999999
b23,menswear,thermals,trousers,60.55,teal,K,,33.0,21.0,,24.0,,14.0,5.0,,,,M,,CN,WIN,XL,,2.97
b142,clothing,nightwear,pyjama,4.99,dark grey,K,,8.0,,3.0,1.0,,59.0,6.0,8.0,6.0,6.0,W,,US,,XS,,
b16,kidswear,suit,coats,89.99,turquoise,K,2.0,,,4.0,,,91.0,,,,1.0,B,,TW,WIN,XL,,
b86,menswear,headgear,scarf,3.74,dark grey,K,3.0,88.0,,,,5.0,,,,,3.0,M,,CN,SUM,XXL,,0.12
b16,womenswear,nightwear,pyjama,8.29,maroon,K,7.0,,,,,20.0,39.0,17.0,,12.0,2.0,W,,CN,,XXL,,0.32299999999999995
b125,kidswear,beachwear,shorts,3.59,unbleached,K,,,,,,,98.0,1.0,,,,G,,CN,SUM,M,,
b86,womenswear,dress,dress,11.06,dark grey,K,2.0,,,15.0,16.0,,20.0,,1.0,,43.0,W,,CN,,XL,,
b89,home,home,towel,19.37,indigo,W,10.0,,15.0,5.0,,14.0,31.0,9.0,13.0,,,,,CN,,M,,
b142,baby,thermals,long-sleeved-top,0.4,brown,K,2.0,12.0,12.0,16.0,,13.0,8.0,,34.0,,,,,CN,,M,,
b76,clothing,clothing,hoodie,10.37,neon,K,,3.0,11.0,,,1.0,,,8.0,12.0,62.0,Y,,CN,,S,,0.235
b125,womenswear,women-sportswear,sport-bra,1.09,yellow,K,,,,,,53.0,47.0,,,,,W,,CN,,L,,0.045
b64,home,home,towel,16.43,brown,K,5.0,1.0,8.0,12.0,,45.0,,,11.0,,16.0,,,CN,,M,,
b64,clothing,clothing,gloves,7.7,mosaic,W,2.0,,1.0,,5.0,79.0,3.0,,,,7.0,U,,CN,WIN,L,,
